# $ ../../source/project4 -l 2 -E 1 -c 1e7 -e 10
c,E,CV,Mabs,Chi,M,accs,Eraw
3.3003300000000000e+05,-1.9960972535330763e+00,3.1161046015448335e-02,9.9872130511720358e-01,3.7628825874418403e-03,-1.9034676265968536e-01,0.0000000000000000e+00,-2.0000000000000000e+00
3.4003400000000000e+05,-1.9961002867436217e+00,3.1136874997098829e-02,9.9872362326299535e-01,3.7520306153506766e-03,-1.7329314021027867e-01,0.0000000000000000e+00,-2.0000000000000000e+00
3.5003500000000000e+05,-1.9961145743459057e+00,3.1023019102700999e-02,9.9872580893990737e-01,3.7532264550308447e-03,-1.5272865444281283e-01,0.0000000000000000e+00,-2.0000000000000000e+00
3.6003600000000000e+05,-1.9960336308110225e+00,3.1668025173647862e-02,9.9869593113849797e-01,3.8512415976521552e-03,-1.5780622008904888e-01,0.0000000000000000e+00,-2.0000000000000000e+00
3.7003700000000000e+05,-1.9959894926870398e+00,3.2019721828051573e-02,9.9868388338179814e-01,3.8792637444400313e-03,-1.3944350157285396e-01,0.0000000000000000e+00,-2.0000000000000000e+00
3.8003800000000000e+05,-1.9959529404334933e+00,3.2310961767514357e-02,9.9867378542163887e-01,3.9031925232282383e-03,-1.5472503414213126e-01,0.0000000000000000e+00,-2.0000000000000000e+00
3.9003900000000000e+05,-1.9959080070763788e+00,3.2668965764621305e-02,9.9865266774350692e-01,3.9847393984997481e-03,-1.5936851011460657e-01,0.0000000000000000e+00,-2.0000000000000000e+00
4.0004000000000000e+05,-1.9958853188877861e+00,3.2849726495090437e-02,9.9864260519809711e-01,4.0223176166103158e-03,-1.6378230687121748e-01,0.0000000000000000e+00,-2.0000000000000000e+00
4.1004100000000000e+05,-1.9959027588090685e+00,3.2710779985945848e-02,9.9864644710656725e-01,4.0167477479235991e-03,-1.4615444648222578e-01,0.0000000000000000e+00,-2.0000000000000000e+00
4.2004200000000000e+05,-1.9958193760966401e+00,3.3375080761993914e-02,9.9861677534860360e-01,4.1110707632734389e-03,-1.4321731863924977e-01,0.0000000000000000e+00,-2.0000000000000000e+00
4.3004300000000000e+05,-1.9958235860420339e+00,3.3341541929535978e-02,9.9861638847160927e-01,4.1175976889320509e-03,-1.4360027346674914e-01,0.0000000000000000e+00,-2.0000000000000000e+00
