# $ ../../source/project4 -P 1 -l 20 -e 1e3 -c 1e6 -b 200
# Evar=0.0249494
E,n,p
5.6000000000000005e-01,0.0000000000000000e+00,0.0000000000000000e+00
5.8000000000000007e-01,0.0000000000000000e+00,0.0000000000000000e+00
6.0000000000000009e-01,0.0000000000000000e+00,0.0000000000000000e+00
6.2000000000000011e-01,0.0000000000000000e+00,0.0000000000000000e+00
6.4000000000000012e-01,0.0000000000000000e+00,0.0000000000000000e+00
6.6000000000000014e-01,0.0000000000000000e+00,0.0000000000000000e+00
6.8000000000000016e-01,0.0000000000000000e+00,0.0000000000000000e+00
7.0000000000000018e-01,0.0000000000000000e+00,0.0000000000000000e+00
7.2000000000000020e-01,0.0000000000000000e+00,0.0000000000000000e+00
7.4000000000000021e-01,0.0000000000000000e+00,0.0000000000000000e+00
7.6000000000000023e-01,0.0000000000000000e+00,0.0000000000000000e+00
7.8000000000000025e-01,0.0000000000000000e+00,0.0000000000000000e+00
8.0000000000000027e-01,0.0000000000000000e+00,0.0000000000000000e+00
8.1999999999999984e-01,0.0000000000000000e+00,0.0000000000000000e+00
8.3999999999999986e-01,0.0000000000000000e+00,0.0000000000000000e+00
8.5999999999999988e-01,0.0000000000000000e+00,0.0000000000000000e+00
8.7999999999999989e-01,0.0000000000000000e+00,0.0000000000000000e+00
8.9999999999999991e-01,0.0000000000000000e+00,0.0000000000000000e+00
9.1999999999999993e-01,0.0000000000000000e+00,0.0000000000000000e+00
9.3999999999999995e-01,0.0000000000000000e+00,0.0000000000000000e+00
9.5999999999999996e-01,0.0000000000000000e+00,0.0000000000000000e+00
9.7999999999999998e-01,0.0000000000000000e+00,0.0000000000000000e+00
1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.0200000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.0400000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.0600000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.0800000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.1000000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.1200000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.1400000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.1600000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
