# $ ../../source/project4 -E 2.4 -l 100 -c 1e6 -s 0
c,E,CV,Mabs,Chi,M,accs
4.7000000000000000e+04,-1.2037876300504244e+00,1.2472332225838263e+00,1.0116954958405140e-01,2.6626785211960446e+01,2.4306529648305354e-02,2.8630000000000000e+03
4.8000000000000000e+04,-1.2037682714943438e+00,1.2415280135032825e+00,1.0072123497427138e-01,2.6371446251570337e+01,2.2616895481344140e-02,2.7280000000000000e+03
4.9000000000000000e+04,-1.2036892961368135e+00,1.2364498852286490e+00,1.0010576927001490e-01,2.6093267917918968e+01,2.3228383094222569e-02,2.7620000000000000e+03
5.0000000000000000e+04,-1.2036490390192196e+00,1.2330294198403136e+00,9.9202259954800906e-02,2.5876808159222243e+01,2.2641743165136698e-02,2.7770000000000000e+03
5.1000000000000000e+04,-1.2036849159820395e+00,1.2262398043207619e+00,9.9902648967667304e-02,2.6249071832915405e+01,2.4807305739103155e-02,2.8880000000000000e+03
5.2000000000000000e+04,-1.2037447510624795e+00,1.2219943857182645e+00,1.0184257225822579e-01,2.7211175755717424e+01,2.6002261494971254e-02,2.8670000000000000e+03
5.3000000000000000e+04,-1.2036357955510273e+00,1.2256873379445945e+00,1.0369801701854683e-01,2.8168343355281706e+01,2.6533223901435820e-02,2.7840000000000000e+03
5.4000000000000000e+04,-1.2036612729393901e+00,1.2237765703696966e+00,1.0493504194366772e-01,2.9064185004300072e+01,2.4012844206588765e-02,2.6990000000000000e+03
5.5000000000000000e+04,-1.2039318266940602e+00,1.2338212353643030e+00,1.0705138815657897e-01,3.1650424934434092e+01,1.9730204905365357e-02,2.9180000000000000e+03
5.6000000000000000e+04,-1.2040300780343209e+00,1.2301042161623224e+00,1.0703868502348172e-01,3.1425497737597325e+01,1.9068355922215677e-02,2.9120000000000000e+03
5.7000000000000000e+04,-1.2040278030209997e+00,1.2251211704427585e+00,1.0668972474167120e-01,3.1195958345159241e+01,2.0088851072788197e-02,2.7770000000000000e+03
5.8000000000000000e+04,-1.2040198824158204e+00,1.2198448192348912e+00,1.0691804968879846e-01,3.0959376786160362e+01,2.1804137859692072e-02,2.7870000000000000e+03
5.9000000000000000e+04,-1.2040910628633414e+00,1.2185757026200494e+00,1.0668207996474637e-01,3.0635196964397959e+01,2.0533079100354231e-02,3.0830000000000000e+03
6.0000000000000000e+04,-1.2040745654239096e+00,1.2212881635507156e+00,1.0715179080348662e-01,3.0642101605950874e+01,2.2346510891485143e-02,2.7370000000000000e+03
