# $ ./project4 -L 20 -E 1 -c 1E4 -s 1
c,E,CV,Mabs,Chi,M
3.9700000000000000e+03,-1.9822034751951652e+00,2.8905182162718845e+00,9.7175900277008309e-01,8.3461735951298035e+00,9.7175648451271723e-01
3.9800000000000000e+03,-1.9822431549861843e+00,2.8835436951491284e+00,9.7182868625973373e-01,8.3259821315277076e+00,9.7182617432805829e-01
3.9900000000000000e+03,-1.9822776246554747e+00,2.8765719260217155e+00,9.7189676772738665e-01,8.3058623370887652e+00,9.7189426208970187e-01
4.0000000000000000e+03,-1.9822994251437140e+00,2.8695871320847073e+00,9.7196075981004748e-01,8.2857678419684824e+00,9.7195826043489131e-01
4.0100000000000000e+03,-1.9823186237845922e+00,2.8627511143160520e+00,9.7202443280977302e-01,8.2657752785424972e+00,9.7202193966591877e-01
4.0200000000000000e+03,-1.9823576224819697e+00,2.8559114388329907e+00,9.7209276299427994e-01,8.2459700969314138e+00,9.7209027605073361e-01
4.0300000000000000e+03,-1.9824013892334409e+00,2.8491346615945803e+00,9.7216199454229724e-01,8.2262846159825127e+00,9.7215951376829568e-01
4.0400000000000000e+03,-1.9824399901014602e+00,2.8423599799652584e+00,9.7222964612719620e-01,8.2066677444586826e+00,9.7222717149220483e-01
4.0500000000000000e+03,-1.9824833374475437e+00,2.8356472599634435e+00,9.7229819797580841e-01,8.1871689732752557e+00,9.7229572944951870e-01
4.0600000000000000e+03,-1.9825264713124846e+00,2.8289661072968739e+00,9.7236641221374043e-01,8.1677624997415119e+00,9.7236394976606744e-01
4.0700000000000000e+03,-1.9825693932694670e+00,2.8223163003096126e+00,9.7243429132891179e-01,8.1484476711304890e+00,9.7243183492999263e-01
4.0800000000000000e+03,-1.9825753491791227e+00,2.8157836883244456e+00,9.7249203626562120e-01,8.1290522902405069e+00,9.7248958588581236e-01
4.0900000000000000e+03,-1.9826130530432657e+00,2.8091680726440971e+00,9.7255805426546071e-01,8.1098953763981267e+00,9.7255560987533618e-01
4.1000000000000000e+03,-1.9826505730309680e+00,2.8025835914319033e+00,9.7262375030480375e-01,8.0908284268929851e+00,9.7262131187515233e-01
4.1100000000000000e+03,-1.9826927754804182e+00,2.7960584748658586e+00,9.7269034298224266e-01,8.0718749507776373e+00,9.7268791048406711e-01
4.1200000000000000e+03,-1.9827299199223489e+00,2.7895353944067027e+00,9.7275539917495746e-01,8.0529859201522775e+00,9.7275297257947102e-01
4.1300000000000000e+03,-1.9827329944323409e+00,2.7829817954837925e+00,9.7281045751633988e-01,8.0340082874108347e+00,9.7280803679496486e-01
4.1400000000000000e+03,-1.9827650326008210e+00,2.7764926710186408e+00,9.7287370200434675e-01,8.0152719580921250e+00,9.7287128712871296e-01
4.1500000000000000e+03,-1.9827872801734523e+00,2.7699784310665563e+00,9.7293423271500845e-01,7.9965753838141245e+00,9.7293182365695019e-01
4.1600000000000000e+03,-1.9828238404229754e+00,2.7635779740475117e+00,9.7299807738524391e-01,7.9780364320710939e+00,9.7299567411679888e-01
4.1700000000000000e+03,-1.9828650203788061e+00,2.7572345247157499e+00,9.7306281467274036e-01,7.9596065732491841e+00,9.7306041716614711e-01
