# $ ./project4 -L 2 -E 1 -c 100 -s 1
c,E,CV,Mabs,Chi,M
2.7000000000000000e+01,-1.9285714285714286e+00,5.5102040816326436e-01,9.8214285714285710e-01,3.4438775510204245e-02,9.8214285714285710e-01
2.8000000000000000e+01,-1.9310344827586208e+00,5.3269916765754921e-01,9.8275862068965514e-01,3.3293697978597159e-02,9.8275862068965514e-01
2.9000000000000000e+01,-1.9333333333333333e+00,5.1555555555555621e-01,9.8333333333333328e-01,3.2222222222222374e-02,9.8333333333333328e-01
3.0000000000000000e+01,-1.9354838709677420e+00,4.9947970863683544e-01,9.8387096774193550e-01,3.1217481789802104e-02,9.8387096774193550e-01
3.1000000000000000e+01,-1.9375000000000000e+00,4.8437500000000000e-01,9.8437500000000000e-01,3.0273437500000000e-02,9.8437500000000000e-01
3.2000000000000000e+01,-1.9393939393939394e+00,4.7015610651974171e-01,9.8484848484848486e-01,2.9384756657484079e-02,9.8484848484848486e-01
3.3000000000000000e+01,-1.9411764705882353e+00,4.5674740484429144e-01,9.8529411764705888e-01,2.8546712802767438e-02,9.8529411764705888e-01
3.4000000000000000e+01,-1.9428571428571428e+00,4.4408163265306122e-01,9.8571428571428577e-01,2.7755102040815771e-02,9.8571428571428577e-01
3.5000000000000000e+01,-1.9444444444444444e+00,4.3209876543209980e-01,9.8611111111111116e-01,2.7006172839505460e-02,9.8611111111111116e-01
3.6000000000000000e+01,-1.9459459459459461e+00,4.2074506939371759e-01,9.8648648648648651e-01,2.6296566837106905e-02,9.8648648648648651e-01
3.7000000000000000e+01,-1.9473684210526316e+00,4.0997229916897382e-01,9.8684210526315785e-01,2.5623268698061086e-02,9.8684210526315785e-01
3.8000000000000000e+01,-1.9487179487179487e+00,3.9973701512163018e-01,9.8717948717948723e-01,2.4983563445101442e-02,9.8717948717948723e-01
3.9000000000000000e+01,-1.9500000000000000e+00,3.9000000000000057e-01,9.8750000000000004e-01,2.4374999999999591e-02,9.8750000000000004e-01
4.0000000000000000e+01,-1.9512195121951219e+00,3.8072575847709800e-01,9.8780487804878048e-01,2.3795359904818625e-02,9.8780487804878048e-01
