# $ ./project4 -L 20 -E 2.4 -c 1E4 -s 0
c,E,CV,Mabs,Chi,M
4.6000000000000000e+02,-1.3048156182212582e+00,1.5486426439426093e+00,6.1450108459869845e-01,4.3273988609753138e+00,6.1450108459869845e-01
4.7000000000000000e+02,-1.3068152866242040e+00,1.5362442394928419e+00,6.1735668789808917e-01,4.3024890574780938e+00,6.1735668789808917e-01
4.8000000000000000e+02,-1.3087525987525988e+00,1.5334736023405640e+00,6.1986486486486481e-01,4.2651130340319625e+00,6.1986486486486481e-01
4.9000000000000000e+02,-1.3084928716904278e+00,1.5185965044482195e+00,6.2052953156822810e-01,4.2051806930727258e+00,6.2052953156822810e-01
5.0000000000000000e+02,-1.3083832335329342e+00,1.4991947243237924e+00,6.2205588822355284e-01,4.1517739305155530e+00,6.2205588822355284e-01
5.1000000000000000e+02,-1.3080039138943249e+00,1.4757778854332679e+00,6.2182974559686888e-01,4.0760483326376216e+00,6.2182974559686888e-01
5.2000000000000000e+02,-1.3085220729366602e+00,1.4503841432290048e+00,6.2210172744721692e-01,4.0021188766619700e+00,6.2210172744721692e-01
5.3000000000000000e+02,-1.3065348399246703e+00,1.4414919577136263e+00,6.2077212806026372e-01,3.9484411260186110e+00,6.2077212806026372e-01
5.4000000000000000e+02,-1.3035674676524953e+00,1.4527899449875197e+00,6.1839186691312387e-01,3.9272800136212025e+00,6.1839186691312387e-01
5.5000000000000000e+02,-1.3020871143375681e+00,1.4389115520407105e+00,6.1657894736842100e-01,3.8899656127614888e+00,6.1657894736842100e-01
5.6000000000000000e+02,-1.3024598930481284e+00,1.4142411056141606e+00,6.1663101604278081e-01,3.8264654249319241e+00,6.1663101604278081e-01
5.7000000000000000e+02,-1.3016112084063047e+00,1.3984867785885249e+00,6.1578809106830124e-01,3.7694382250494072e+00,6.1578809106830124e-01
5.8000000000000000e+02,-1.3004647160068847e+00,1.3922564695302655e+00,6.1465576592082616e-01,3.7298282137648284e+00,6.1465576592082616e-01
5.9000000000000000e+02,-1.2974619289340099e+00,1.4159608118773879e+00,6.1214890016920476e-01,3.7360888033799031e+00,6.1214890016920476e-01
6.0000000000000000e+02,-1.2960232945091514e+00,1.4104958950218436e+00,6.0576539101497506e-01,4.1244309262709669e+00,6.0576539101497506e-01
6.1000000000000000e+02,-1.2945008183306055e+00,1.4002685430977082e+00,5.9955810147299504e-01,4.4800001875061986e+00,5.9703764320785591e-01
6.2000000000000000e+02,-1.2929468599033818e+00,1.3894823812820760e+00,5.9454911433172308e-01,4.6657873730576584e+00,5.8277777777777784e-01
6.3000000000000000e+02,-1.2927575277337560e+00,1.3729752048934138e+00,5.9106973058637080e-01,4.7203388620851081e+00,5.6759904912836767e-01
6.4000000000000000e+02,-1.2904524180967238e+00,1.3827752642087034e+00,5.8597503900156012e-01,4.9317643267353111e+00,5.5461778471138845e-01
6.5000000000000000e+02,-1.2880184331797235e+00,1.3923391127753906e+00,5.7819508448540713e-01,5.5138515679135560e+00,5.4498463901689709e-01
6.6000000000000000e+02,-1.2859455370650530e+00,1.4117219321875483e+00,5.7015885022692891e-01,6.1334488957958078e+00,5.3743570347957648e-01
6.7000000000000000e+02,-1.2833233979135619e+00,1.4275427246494323e+00,5.6233233979135622e-01,6.7185729975724069e+00,5.2890461997019367e-01
6.8000000000000000e+02,-1.2812628487518356e+00,1.4330553465158828e+00,5.5500734214390601e-01,7.2223507007560563e+00,5.2020558002936856e-01
6.9000000000000000e+02,-1.2802170767004342e+00,1.4250349170380205e+00,5.5000723589001443e-01,7.4078087225809366e+00,5.0964544138929080e-01
7.0000000000000000e+02,-1.2782453637660485e+00,1.4304309119345613e+00,5.4580599144079889e-01,7.5096337648207214e+00,4.9873038516405138e-01
7.1000000000000000e+02,-1.2761040787623066e+00,1.4412904651284686e+00,5.4171589310829815e-01,7.6008688725756892e+00,4.8812939521800280e-01
7.2000000000000000e+02,-1.2746463245492372e+00,1.4346909012135967e+00,5.3780859916782253e-01,7.6903461827751176e+00,4.7775312066574199e-01
7.3000000000000000e+02,-1.2727770177838578e+00,1.4336584828525047e+00,5.3411080711354308e-01,7.7622599235348391e+00,4.6755813953488373e-01
7.4000000000000000e+02,-1.2722807017543860e+00,1.4180392125913766e+00,5.2999325236167349e-01,7.8736223495865501e+00,4.5815789473684210e-01
7.5000000000000000e+02,-1.2715312916111852e+00,1.4047694753890281e+00,5.2479360852197066e-01,8.1064676008257734e+00,4.5019973368841548e-01
7.6000000000000000e+02,-1.2707752956636005e+00,1.3904805971271674e+00,5.1914586070959268e-01,8.4059449867413996e+00,4.4466491458607094e-01
7.7000000000000000e+02,-1.2691828793774318e+00,1.3897882632591063e+00,5.1584306095979249e-01,8.4476333788102238e+00,4.4232814526588848e-01
7.8000000000000000e+02,-1.2690268886043534e+00,1.3747208382539686e+00,5.1476312419974390e-01,8.3684232133967047e+00,4.4218950064020490e-01
7.9000000000000000e+02,-1.2676359039190899e+00,1.3728647931880131e+00,5.1292035398230096e-01,8.3152452554363361e+00,4.4126422250316055e-01
8.0000000000000000e+02,-1.2671910112359550e+00,1.3624965126301225e+00,5.1155430711610483e-01,8.2401352242281440e+00,4.4079275905118598e-01
8.1000000000000000e+02,-1.2655733662145499e+00,1.3645540814418256e+00,5.0972256473489519e-01,8.1852779648716325e+00,4.3983353884093712e-01
8.2000000000000000e+02,-1.2638611449451889e+00,1.3699468949218321e+00,5.0708891595615102e-01,8.1833115122077054e+00,4.3805115712545678e-01
8.3000000000000000e+02,-1.2641155234657040e+00,1.3597844723347963e+00,5.0666666666666660e-01,8.0922416098408956e+00,4.3845968712394706e-01
8.4000000000000000e+02,-1.2636385255648037e+00,1.3486644629220894e+00,5.0569560047562423e-01,8.0112501136983312e+00,4.3829964328180737e-01
8.5000000000000000e+02,-1.2626792009400705e+00,1.3420723513070116e+00,5.0341363102232672e-01,8.0060435569682955e+00,4.3680963572267922e-01
8.6000000000000000e+02,-1.2626480836236933e+00,1.3339432805312048e+00,4.9835075493612080e-01,8.2812249461884004e+00,4.3109175377468062e-01
8.7000000000000000e+02,-1.2622502870264065e+00,1.3245303480536625e+00,4.9335820895522386e-01,8.5449487636444630e+00,4.2687141216991958e-01
8.8000000000000000e+02,-1.2606242905788876e+00,1.3299719889158219e+00,4.9099886492622019e-01,8.5591318575226900e+00,4.2526674233825196e-01
8.9000000000000000e+02,-1.2619079685746353e+00,1.3271882757687259e+00,4.9144219977553311e-01,8.4674937847527953e+00,4.2644781144781141e-01
9.0000000000000000e+02,-1.2613540510543841e+00,1.3191167266088291e+00,4.9069367369589345e-01,8.3859214676174751e+00,4.2642064372918981e-01
9.1000000000000000e+02,-1.2600548847420416e+00,1.3171040108369048e+00,4.8902305159165749e-01,8.3449287442218445e+00,4.2545554335894620e-01
