# $ ./project4 -L 20 -E 1 -c 1E4 -s 0
c,E,CV,Mabs,Chi,M
2.6000000000000000e+02,-1.9973563218390806e+00,1.8813581714639441e-02,9.9932950191570880e-01,1.2377974486298625e-03,9.9932950191570880e-01
2.7000000000000000e+02,-1.9973062730627305e+00,1.9090154001605696e-02,9.9931734317343168e-01,1.2527062540175393e-03,9.9931734317343168e-01
2.8000000000000000e+02,-1.9973309608540923e+00,1.8929851445718668e-02,9.9932384341637004e-01,1.2406124543485929e-03,9.9932384341637004e-01
2.9000000000000000e+02,-1.9974226804123711e+00,1.8373897332348860e-02,9.9934707903780062e-01,1.2040481335861841e-03,9.9934707903780062e-01
3.0000000000000000e+02,-1.9975083056478404e+00,1.7848809615534266e-02,9.9936877076411956e-01,1.1695235152001261e-03,9.9936877076411956e-01
3.1000000000000000e+02,-1.9973311897106110e+00,1.9916253967676312e-02,9.9932475884244365e-01,1.2967194301018025e-03,9.9932475884244365e-01
3.2000000000000000e+02,-1.9972897196261681e+00,2.0114711619971786e-02,9.9931464174454832e-01,1.3074407273961698e-03,9.9931464174454832e-01
3.3000000000000000e+02,-1.9973716012084592e+00,1.9593103385413996e-02,9.9933534743202412e-01,1.2734458430350060e-03,9.9933534743202412e-01
3.4000000000000000e+02,-1.9974486803519063e+00,1.9097186986764426e-02,9.9935483870967745e-01,1.2411313972552308e-03,9.9935483870967745e-01
3.5000000000000000e+02,-1.9974643874643874e+00,1.8966729166277219e-02,9.9935897435897436e-01,1.2316458470741055e-03,9.9935897435897436e-01
3.6000000000000000e+02,-1.9974792243767314e+00,1.8843317654100248e-02,9.9936288088642655e-01,1.2226732453564182e-03,9.9936288088642655e-01
3.7000000000000000e+02,-1.9975471698113207e+00,1.8402074963087215e-02,9.9938005390835583e-01,1.1939756322681206e-03,9.9938005390835583e-01
3.8000000000000000e+02,-1.9975590551181102e+00,1.8299129931547212e-02,9.9938320209973752e-01,1.1864068172144470e-03,9.9938320209973752e-01
3.9000000000000000e+02,-1.9975703324808185e+00,1.8201346145069693e-02,9.9938618925831202e-01,1.1792178230098215e-03,9.9938618925831202e-01
4.0000000000000000e+02,-1.9974064837905237e+00,1.9454107872443272e-02,9.9933915211970070e-01,1.2966337273974205e-03,9.9933915211970070e-01
4.1000000000000000e+02,-1.9974695863746958e+00,1.9044642169901635e-02,9.9935523114355229e-01,1.2692323630471946e-03,9.9935523114355229e-01
4.2000000000000000e+02,-1.9974346793349167e+00,1.9220383545907681e-02,9.9934679334916865e-01,1.2782595449243673e-03,9.9934679334916865e-01
4.3000000000000000e+02,-1.9974013921113689e+00,1.9387061869783794e-02,9.9933874709976789e-01,1.2868147781409788e-03,9.9933874709976789e-01
