euler_pos0,euler_pos1,euler_pos2,verlet_pos0,verlet_pos1,verlet_pos2
0.944484,-0.39877,0,0.934333,-0.356416,0
0.946968,-0.392917,0,0.936554,-0.350539,0
0.949415,-0.387049,0,0.938738,-0.344647,0
0.951825,-0.381165,0,0.940885,-0.338742,0
0.9542,-0.375267,0,0.942995,-0.332824,0
0.956537,-0.369354,0,0.945067,-0.326893,0
0.958838,-0.363427,0,0.947102,-0.320948,0
0.961102,-0.357485,0,0.9491,-0.314991,0
0.963329,-0.351529,0,0.951061,-0.309021,0
0.965519,-0.34556,0,0.952983,-0.30304,0
0.967671,-0.339577,0,0.954869,-0.297046,0
0.969787,-0.333581,0,0.956716,-0.291041,0
0.971866,-0.327571,0,0.958526,-0.285024,0
0.973907,-0.321549,0,0.960298,-0.278996,0
0.97591,-0.315515,0,0.962032,-0.272956,0
0.977877,-0.309467,0,0.963728,-0.266906,0
0.979805,-0.303408,0,0.965386,-0.260846,0
0.981696,-0.297337,0,0.967006,-0.254775,0
0.98355,-0.291254,0,0.968587,-0.248694,0
0.985365,-0.28516,0,0.970131,-0.242604,0
0.987143,-0.279054,0,0.971636,-0.236503,0
0.988883,-0.272938,0,0.973103,-0.230394,0
0.990584,-0.266811,0,0.974531,-0.224275,0
0.992248,-0.260673,0,0.975921,-0.218148,0
0.993874,-0.254525,0,0.977272,-0.212011,0
0.995461,-0.248367,0,0.978585,-0.205867,0
0.99701,-0.242199,0,0.979859,-0.199714,0
0.998521,-0.236022,0,0.981094,-0.193554,0
0.999994,-0.229835,0,0.982291,-0.187386,0
1.00143,-0.223639,0,0.983449,-0.18121,0
1.00282,-0.217435,0,0.984568,-0.175027,0
1.00418,-0.211221,0,0.985649,-0.168838,0
1.0055,-0.205,0,0.98669,-0.162641,0
1.00678,-0.19877,0,0.987692,-0.156439,0
1.00802,-0.192532,0,0.988656,-0.15023,0
1.00922,-0.186287,0,0.98958,-0.144015,0
1.01039,-0.180035,0,0.990465,-0.137794,0
1.01151,-0.173775,0,0.991312,-0.131568,0
1.0126,-0.167508,0,0.992119,-0.125337,0
1.01364,-0.161234,0,0.992886,-0.119101,0
1.01465,-0.154955,0,0.993615,-0.11286,0
1.01562,-0.148669,0,0.994305,-0.106615,0
1.01655,-0.142376,0,0.994955,-0.100366,0
1.01744,-0.136079,0,0.995566,-0.0941123,0
1.01829,-0.129776,0,0.996137,-0.0878552,0
1.01911,-0.123467,0,0.99667,-0.0815946,0
1.01988,-0.117154,0,0.997163,-0.0753308,0
1.02062,-0.110835,0,0.997616,-0.069064,0
1.02131,-0.104513,0,0.998031,-0.0627945,0
1.02197,-0.0981857,0,0.998405,-0.0565225,0
1.02258,-0.0918547,0,0.998741,-0.0502482,0
1.02316,-0.0855199,0,0.999037,-0.043972,0
1.0237,-0.0791816,0,0.999293,-0.0376941,0
1.0242,-0.07284,0,0.99951,-0.0314146,0
1.02466,-0.0664954,0,0.999688,-0.0251339,0
1.02508,-0.060148,0,0.999826,-0.0188523,0
1.02546,-0.053798,0,0.999925,-0.0125699,0
1.0258,-0.0474457,0,0.999984,-0.00628694,0
