exact,numeric
5.550000000000e+02,1.114320250782e+04
5.590000000000e+02,1.129357745858e+04
5.630000000000e+02,1.144473732222e+04
5.670000000000e+02,1.159667615501e+04
5.710000000000e+02,1.174938798258e+04
5.750000000000e+02,1.190286680016e+04
5.790000000000e+02,1.205710657283e+04
5.830000000000e+02,1.221210123576e+04
5.870000000000e+02,1.236784469442e+04
5.910000000000e+02,1.252433082484e+04
5.950000000000e+02,1.268155347384e+04
5.990000000000e+02,1.283950645931e+04
6.030000000000e+02,1.299818357038e+04
6.070000000000e+02,1.315757856775e+04
6.110000000000e+02,1.331768518385e+04
6.150000000000e+02,1.347849712316e+04
6.190000000000e+02,1.364000806242e+04
6.230000000000e+02,1.380221165087e+04
6.270000000000e+02,1.396510151053e+04
6.310000000000e+02,1.412867123644e+04
6.350000000000e+02,1.429291439688e+04
6.390000000000e+02,1.445782453367e+04
6.430000000000e+02,1.462339516241e+04
6.470000000000e+02,1.478961977272e+04
6.510000000000e+02,1.495649182851e+04
6.550000000000e+02,1.512400476821e+04
6.590000000000e+02,1.529215200508e+04
6.630000000000e+02,1.546092692742e+04
6.670000000000e+02,1.563032289886e+04
6.710000000000e+02,1.580033325860e+04
6.750000000000e+02,1.597095132169e+04
6.790000000000e+02,1.614217037929e+04
6.830000000000e+02,1.631398369891e+04
6.870000000000e+02,1.648638452470e+04
6.910000000000e+02,1.665936607772e+04
6.950000000000e+02,1.683292155618e+04
6.990000000000e+02,1.700704413573e+04
7.030000000000e+02,1.718172696973e+04
7.070000000000e+02,1.735696318950e+04
7.110000000000e+02,1.753274590459e+04
7.150000000000e+02,1.770906820309e+04
7.190000000000e+02,1.788592315184e+04
7.230000000000e+02,1.806330379676e+04
7.270000000000e+02,1.824120316310e+04
7.310000000000e+02,1.841961425569e+04
7.350000000000e+02,1.859853005926e+04
7.390000000000e+02,1.877794353869e+04
7.430000000000e+02,1.895784763929e+04
7.470000000000e+02,1.913823528706e+04
7.510000000000e+02,1.931909938903e+04
7.550000000000e+02,1.950043283345e+04
7.590000000000e+02,1.968222849015e+04
7.630000000000e+02,1.986447921075e+04
7.670000000000e+02,2.004717782901e+04
7.710000000000e+02,2.023031716106e+04
7.750000000000e+02,2.041389000571e+04
7.790000000000e+02,2.059788914471e+04
7.830000000000e+02,2.078230734306e+04
7.870000000000e+02,2.096713734929e+04
7.910000000000e+02,2.115237189571e+04
7.950000000000e+02,2.133800369876e+04
7.990000000000e+02,2.152402545922e+04
8.030000000000e+02,2.171042986256e+04
8.070000000000e+02,2.189720957921e+04
8.110000000000e+02,2.208435726482e+04
8.150000000000e+02,2.227186556059e+04
8.190000000000e+02,2.245972709353e+04
8.230000000000e+02,2.264793447677e+04
8.270000000000e+02,2.283648030984e+04
8.310000000000e+02,2.302535717895e+04
8.350000000000e+02,2.321455765729e+04
8.390000000000e+02,2.340407430536e+04
8.430000000000e+02,2.359389967118e+04
8.470000000000e+02,2.378402629067e+04
8.510000000000e+02,2.397444668789e+04
8.550000000000e+02,2.416515337534e+04
8.590000000000e+02,2.435613885428e+04
8.630000000000e+02,2.454739561499e+04
8.670000000000e+02,2.473891613709e+04
8.710000000000e+02,2.493069288984e+04
8.750000000000e+02,2.512271833241e+04
8.790000000000e+02,2.531498491419e+04
8.830000000000e+02,2.550748507510e+04
8.870000000000e+02,2.570021124587e+04
8.910000000000e+02,2.589315584835e+04
8.950000000000e+02,2.608631129578e+04
8.990000000000e+02,2.627966999313e+04
9.030000000000e+02,2.647322433738e+04
9.070000000000e+02,2.666696671779e+04
9.110000000000e+02,2.686088951626e+04
9.150000000000e+02,2.705498510758e+04
9.190000000000e+02,2.724924585974e+04
9.230000000000e+02,2.744366413424e+04
9.270000000000e+02,2.763823228639e+04
9.310000000000e+02,2.783294266561e+04
9.350000000000e+02,2.802778761572e+04
9.390000000000e+02,2.822275947526e+04
9.430000000000e+02,2.841785057775e+04
9.470000000000e+02,2.861305325205e+04
9.510000000000e+02,2.880835982263e+04
