exact,numeric
8.876120467027e+04,8.876120467028e+04
9.026135129440e+04,9.026135129442e+04
9.176693993127e+04,9.176693993127e+04
9.327773472159e+04,9.327773472160e+04
9.479349899053e+04,9.479349899053e+04
9.631399528472e+04,9.631399528473e+04
9.783898540952e+04,9.783898540952e+04
9.936823046630e+04,9.936823046628e+04
1.009014908899e+05,1.009014908899e+05
1.024385264860e+05,1.024385264860e+05
1.039790964691e+05,1.039790964691e+05
1.055229594997e+05,1.055229594997e+05
1.070698737229e+05,1.070698737229e+05
1.086195968053e+05,1.086195968053e+05
1.101718859738e+05,1.101718859738e+05
1.117264980531e+05,1.117264980532e+05
1.132831895043e+05,1.132831895043e+05
1.148417164625e+05,1.148417164624e+05
1.164018347752e+05,1.164018347752e+05
1.179633000409e+05,1.179633000409e+05
1.195258676468e+05,1.195258676468e+05
1.210892928076e+05,1.210892928077e+05
1.226533306036e+05,1.226533306036e+05
1.242177360191e+05,1.242177360191e+05
1.257822639809e+05,1.257822639809e+05
1.273466693964e+05,1.273466693964e+05
1.289107071924e+05,1.289107071924e+05
1.304741323532e+05,1.304741323532e+05
1.320366999591e+05,1.320366999591e+05
1.335981652248e+05,1.335981652248e+05
1.351582835375e+05,1.351582835375e+05
1.367168104957e+05,1.367168104957e+05
1.382735019469e+05,1.382735019469e+05
1.398281140262e+05,1.398281140262e+05
1.413804031947e+05,1.413804031947e+05
1.429301262771e+05,1.429301262771e+05
1.444770405003e+05,1.444770405003e+05
1.460209035309e+05,1.460209035310e+05
1.475614735140e+05,1.475614735140e+05
1.490985091101e+05,1.490985091101e+05
1.506317695337e+05,1.506317695337e+05
1.521610145905e+05,1.521610145905e+05
1.536860047153e+05,1.536860047153e+05
1.552065010095e+05,1.552065010095e+05
1.567222652784e+05,1.567222652784e+05
1.582330600687e+05,1.582330600687e+05
1.597386487056e+05,1.597386487056e+05
1.612387953297e+05,1.612387953298e+05
1.627332649344e+05,1.627332649343e+05
1.642218234021e+05,1.642218234021e+05
1.657042375416e+05,1.657042375416e+05
1.671802751238e+05,1.671802751239e+05
1.686497049190e+05,1.686497049190e+05
1.701122967324e+05,1.701122967324e+05
1.715678214403e+05,1.715678214402e+05
1.730160510263e+05,1.730160510263e+05
1.744567586167e+05,1.744567586167e+05
1.758897185163e+05,1.758897185163e+05
1.773147062435e+05,1.773147062435e+05
1.787314985656e+05,1.787314985656e+05
1.801398735339e+05,1.801398735339e+05
1.815396105181e+05,1.815396105180e+05
1.829304902412e+05,1.829304902412e+05
1.843122948138e+05,1.843122948138e+05
1.856848077682e+05,1.856848077681e+05
1.870478140920e+05,1.870478140920e+05
1.884011002625e+05,1.884011002625e+05
1.897444542793e+05,1.897444542793e+05
1.910776656983e+05,1.910776656983e+05
1.924005256640e+05,1.924005256640e+05
1.937128269427e+05,1.937128269427e+05
1.950143639547e+05,1.950143639548e+05
1.963049328066e+05,1.963049328066e+05
1.975843313233e+05,1.975843313233e+05
1.988523590795e+05,1.988523590795e+05
2.001088174311e+05,2.001088174311e+05
2.013535095467e+05,2.013535095467e+05
2.025862404379e+05,2.025862404379e+05
2.038068169903e+05,2.038068169903e+05
2.050150479933e+05,2.050150479933e+05
2.062107441705e+05,2.062107441706e+05
2.073937182092e+05,2.073937182092e+05
2.085637847894e+05,2.085637847894e+05
2.097207606133e+05,2.097207606134e+05
2.108644644341e+05,2.108644644341e+05
2.119947170837e+05,2.119947170837e+05
2.131113415015e+05,2.131113415015e+05
2.142141627617e+05,2.142141627617e+05
2.153030081009e+05,2.153030081009e+05
2.163777069451e+05,2.163777069451e+05
2.174380909365e+05,2.174380909365e+05
2.184839939596e+05,2.184839939597e+05
2.195152521677e+05,2.195152521677e+05
2.205317040081e+05,2.205317040080e+05
2.215331902476e+05,2.215331902476e+05
2.225195539977e+05,2.225195539977e+05
2.234906407386e+05,2.234906407386e+05
2.244462983439e+05,2.244462983439e+05
2.253863771042e+05,2.253863771042e+05
2.263107297508e+05,2.263107297508e+05
2.272192114783e+05,2.272192114783e+05
2.281116799678e+05,2.281116799678e+05
2.289879954088e+05,2.289879954088e+05
2.298480205215e+05,2.298480205215e+05
2.306916205777e+05,2.306916205777e+05
2.315186634228e+05,2.315186634228e+05
