exact,numeric
4.750000000000e+02,1.362062742895e+03
4.790000000000e+02,1.383416436043e+03
4.830000000000e+02,1.404913716010e+03
4.870000000000e+02,1.426553735186e+03
4.910000000000e+02,1.448335640443e+03
4.950000000000e+02,1.470258573160e+03
4.990000000000e+02,1.492321669255e+03
5.030000000000e+02,1.514524059216e+03
5.070000000000e+02,1.536864868131e+03
5.110000000000e+02,1.559343215715e+03
5.150000000000e+02,1.581958216348e+03
5.190000000000e+02,1.604708979101e+03
5.230000000000e+02,1.627594607770e+03
5.270000000000e+02,1.650614200907e+03
5.310000000000e+02,1.673766851856e+03
5.350000000000e+02,1.697051648784e+03
5.390000000000e+02,1.720467674713e+03
5.430000000000e+02,1.744014007555e+03
5.470000000000e+02,1.767689720149e+03
5.510000000000e+02,1.791493880290e+03
5.550000000000e+02,1.815425550766e+03
5.590000000000e+02,1.839483789394e+03
5.630000000000e+02,1.863667649056e+03
5.670000000000e+02,1.887976177731e+03
5.710000000000e+02,1.912408418533e+03
5.750000000000e+02,1.936963409748e+03
5.790000000000e+02,1.961640184868e+03
5.830000000000e+02,1.986437772629e+03
5.870000000000e+02,2.011355197050e+03
5.910000000000e+02,2.036391477465e+03
5.950000000000e+02,2.061545628564e+03
5.990000000000e+02,2.086816660430e+03
6.030000000000e+02,2.112203578577e+03
6.070000000000e+02,2.137705383987e+03
6.110000000000e+02,2.163321073150e+03
6.150000000000e+02,2.189049638099e+03
6.190000000000e+02,2.214890066455e+03
6.230000000000e+02,2.240841341458e+03
6.270000000000e+02,2.266902442014e+03
6.310000000000e+02,2.293072342727e+03
6.350000000000e+02,2.319350013946e+03
6.390000000000e+02,2.345734421797e+03
6.430000000000e+02,2.372224528230e+03
6.470000000000e+02,2.398819291055e+03
6.510000000000e+02,2.425517663983e+03
6.550000000000e+02,2.452318596667e+03
6.590000000000e+02,2.479221034742e+03
6.630000000000e+02,2.506223919869e+03
6.670000000000e+02,2.533326189771e+03
6.710000000000e+02,2.560526778278e+03
6.750000000000e+02,2.587824615366e+03
6.790000000000e+02,2.615218627203e+03
6.830000000000e+02,2.642707736183e+03
6.870000000000e+02,2.670290860978e+03
6.910000000000e+02,2.697966916569e+03
6.950000000000e+02,2.725734814299e+03
6.990000000000e+02,2.753593461907e+03
7.030000000000e+02,2.781541763575e+03
7.070000000000e+02,2.809578619971e+03
7.110000000000e+02,2.837702928288e+03
7.150000000000e+02,2.865913582291e+03
7.190000000000e+02,2.894209472359e+03
7.230000000000e+02,2.922589485528e+03
7.270000000000e+02,2.951052505534e+03
7.310000000000e+02,2.979597412857e+03
7.350000000000e+02,3.008223084767e+03
7.390000000000e+02,3.036928395362e+03
7.430000000000e+02,3.065712215619e+03
7.470000000000e+02,3.094573413434e+03
7.510000000000e+02,3.123510853667e+03
7.550000000000e+02,3.152523398187e+03
7.590000000000e+02,3.181609905916e+03
7.630000000000e+02,3.210769232873e+03
7.670000000000e+02,3.240000232222e+03
7.710000000000e+02,3.269301754311e+03
7.750000000000e+02,3.298672646724e+03
7.790000000000e+02,3.328111754321e+03
7.830000000000e+02,3.357617919284e+03
7.870000000000e+02,3.387189981165e+03
7.910000000000e+02,3.416826776929e+03
7.950000000000e+02,3.446527140999e+03
7.990000000000e+02,3.476289905305e+03
8.030000000000e+02,3.506113899328e+03
8.070000000000e+02,3.535997950143e+03
8.110000000000e+02,3.565940882469e+03
8.150000000000e+02,3.595941518714e+03
8.190000000000e+02,3.625998679022e+03
8.230000000000e+02,3.656111181314e+03
8.270000000000e+02,3.686277841344e+03
8.310000000000e+02,3.716497472734e+03
8.350000000000e+02,3.746768887032e+03
8.390000000000e+02,3.777090893749e+03
8.430000000000e+02,3.807462300412e+03
8.470000000000e+02,3.837881912607e+03
8.510000000000e+02,3.868348534028e+03
8.550000000000e+02,3.898860966524e+03
8.590000000000e+02,3.929418010144e+03
8.630000000000e+02,3.960018463187e+03
8.670000000000e+02,3.990661122246e+03
8.710000000000e+02,4.021344782257e+03
8.750000000000e+02,4.052068236548e+03
8.790000000000e+02,4.082830276882e+03
8.830000000000e+02,4.113629693508e+03
8.870000000000e+02,4.144465275208e+03
8.910000000000e+02,4.175335809341e+03
8.950000000000e+02,4.206240081898e+03
8.990000000000e+02,4.237176877541e+03
9.030000000000e+02,4.268144979658e+03
9.070000000000e+02,4.299143170405e+03
9.110000000000e+02,4.330170230759e+03
9.150000000000e+02,4.361224940560e+03
9.190000000000e+02,4.392306078566e+03
9.230000000000e+02,4.423412422495e+03
9.270000000000e+02,4.454542749075e+03
9.310000000000e+02,4.485695834093e+03
9.350000000000e+02,4.516870452441e+03
9.390000000000e+02,4.548065378167e+03
9.430000000000e+02,4.579279384522e+03
9.470000000000e+02,4.610511244004e+03
9.510000000000e+02,4.641759728414e+03
9.550000000000e+02,4.673023608897e+03
9.590000000000e+02,4.704301655996e+03
9.630000000000e+02,4.735592639697e+03
9.670000000000e+02,4.766895329475e+03
9.710000000000e+02,4.798208494350e+03
9.750000000000e+02,4.829530902927e+03
9.790000000000e+02,4.860861323449e+03
9.830000000000e+02,4.892198523846e+03
9.870000000000e+02,4.923541271779e+03
9.910000000000e+02,4.954888334693e+03
