# $ ../../source/project4 -E 2.4 -c 1e6 -l 60
c,E,CV,Mabs,Chi,M,accs
3.4000000000000000e+04,-1.2040804682215229e+00,1.1358463909907446e+00,1.6209921930400742e-01,1.8255351357602457e+01,1.8019470015587777e-02,1.0110000000000000e+03
3.5000000000000000e+04,-1.2041531511798076e+00,1.1387154014229941e+00,1.6244916811900614e-01,1.8291531422245363e+01,1.4064836242774017e-02,9.9300000000000000e+02
3.6000000000000000e+04,-1.2039192121206510e+00,1.1322798354342440e+00,1.6214075843572248e-01,1.8126036479886974e+01,1.2574079732353114e-02,9.6000000000000000e+02
3.7000000000000000e+04,-1.2038972820554399e+00,1.1335568286839264e+00,1.6280699620730973e-01,1.8374165108321460e+01,1.6011684368890930e-02,1.0300000000000000e+03
3.8000000000000000e+04,-1.2039766789762842e+00,1.1290481191697634e+00,1.6159701937668308e-01,1.8282320357560749e+01,1.6125262785482253e-02,8.9500000000000000e+02
3.9000000000000000e+04,-1.2039602403357179e+00,1.1284412187490007e+00,1.6144583187325681e-01,1.8274023203070243e+01,1.7038879344974060e-02,9.6000000000000000e+02
4.0000000000000000e+04,-1.2038588479732450e+00,1.1261835161235074e+00,1.6264704493498774e-01,1.8320806423602740e+01,1.8813807432591964e-02,1.0140000000000000e+03
4.1000000000000000e+04,-1.2037011563403603e+00,1.1235518605329016e+00,1.6095245644415176e-01,1.8201239888034678e+01,1.9862754024969578e-02,1.0790000000000000e+03
4.2000000000000000e+04,-1.2038195915970256e+00,1.1188045434208578e+00,1.5957979836458921e-01,1.8072184942047265e+01,1.7554158763415685e-02,1.0880000000000000e+03
4.3000000000000000e+04,-1.2041936234041068e+00,1.1208859654738106e+00,1.6200968194538110e-01,1.8468726171956277e+01,1.7130441410923260e-02,9.3900000000000000e+02
4.4000000000000000e+04,-1.2040079139615512e+00,1.1192314955768792e+00,1.6178540134188871e-01,1.8406398888181887e+01,1.7678575486920752e-02,9.7700000000000000e+02
4.5000000000000000e+04,-1.2039112217259369e+00,1.1130475576186947e+00,1.6027220382756927e-01,1.8262702492620029e+01,1.8172522092101656e-02,1.0710000000000000e+03
4.6000000000000000e+04,-1.2039134414952333e+00,1.1096231836488222e+00,1.6099057025330366e-01,1.8467850169391017e+01,2.1020980220236758e-02,1.0090000000000000e+03
4.7000000000000000e+04,-1.2035813658811041e+00,1.1110122472812769e+00,1.6080322168086258e-01,1.8501407832270488e+01,1.8508258689531428e-02,8.8200000000000000e+02
4.8000000000000000e+04,-1.2036624931425040e+00,1.1151044276847653e+00,1.6069092310576863e-01,1.8512293726654995e+01,1.5729128328345013e-02,1.0500000000000000e+03
4.9000000000000000e+04,-1.2032844000916081e+00,1.1157170098357947e+00,1.5919098022942840e-01,1.8428246989642098e+01,1.4780117866075295e-02,1.0570000000000000e+03
